Date,Open,High,Low,Close,Adj Close,Volume
2021-04-17,0.012315,0.022020,0.010323,0.010323,0.010323,0
2021-04-18,0.010316,0.010380,0.003857,0.007869,0.007869,0
2021-04-19,0.007870,0.007928,0.006656,0.006692,0.006692,0
2021-04-20,0.006687,0.006847,0.006414,0.006770,0.006770,0
2021-04-21,0.006777,0.006811,0.005438,0.005929,0.005929,0
2021-04-22,0.005930,0.006649,0.005798,0.006216,0.006216,0
2021-04-23,0.006211,0.006666,0.005859,0.006642,0.006642,0
2021-04-24,0.006642,0.007141,0.006347,0.007009,0.007009,0
2021-04-25,0.007007,0.007060,0.005925,0.006370,0.006370,0
2021-04-26,0.006371,0.006528,0.006011,0.006481,0.006481,0
2021-04-27,0.006483,0.008786,0.006398,0.008247,0.008247,0
2021-04-28,0.008255,0.008434,0.007556,0.008221,0.008221,0
2021-04-29,0.008224,0.010935,0.008035,0.009108,0.009108,0
2021-04-30,0.009104,0.009843,0.009032,0.009821,0.009821,0
2021-05-01,0.009818,0.009936,0.008670,0.008674,0.008674,0
2021-05-02,0.008674,0.008685,0.007860,0.007927,0.007927,0
2021-05-03,0.007928,0.008256,0.007358,0.008003,0.008003,0
2021-05-04,0.008008,0.008010,0.006383,0.006394,0.006394,0
2021-05-05,0.006400,0.008073,0.006356,0.007468,0.007468,0
2021-05-06,0.007465,0.007587,0.007200,0.007327,0.007327,0
2021-05-07,0.007332,0.007619,0.007192,0.007455,0.007455,0
2021-05-08,0.007456,0.008815,0.007407,0.008815,0.008815,0
2021-05-09,0.008821,0.008882,0.007907,0.008151,0.008151,0
2021-05-10,0.008153,0.008780,0.008040,0.008374,0.008374,0
2021-05-11,0.008379,0.008531,0.008191,0.008507,0.008507,0
2021-05-12,0.008506,0.008691,0.007487,0.007487,0.007487,0
2021-05-13,0.007373,0.009753,0.007047,0.008951,0.008951,0
2021-05-14,0.008949,0.009168,0.006915,0.007980,0.007980,0
2021-05-15,0.007981,0.008276,0.007596,0.007955,0.007955,0
2021-05-16,0.007949,0.008452,0.007275,0.007437,0.007437,0
2021-05-17,0.007433,0.007460,0.005074,0.006072,0.006072,0
2021-05-18,0.006095,0.006414,0.005932,0.006019,0.006019,0
2021-05-19,0.006007,0.006862,0.004909,0.006317,0.006317,0
2021-05-20,0.006290,0.007209,0.005959,0.006501,0.006501,0
2021-05-21,0.006525,0.007513,0.006051,0.006713,0.006713,0
2021-05-22,0.006715,0.006960,0.005955,0.006002,0.006002,0
2021-05-23,0.006006,0.006126,0.004429,0.005224,0.005224,0
2021-05-24,0.005216,0.005588,0.002660,0.003865,0.003865,0
2021-05-25,0.003871,0.004257,0.003778,0.004214,0.004214,0
2021-05-26,0.004224,0.004486,0.004170,0.004325,0.004325,0
2021-05-27,0.004322,0.004846,0.004136,0.004612,0.004612,0
2021-05-28,0.004612,0.004663,0.004173,0.004280,0.004280,0
2021-05-29,0.004284,0.004468,0.004043,0.004150,0.004150,0
2021-05-30,0.004154,0.006445,0.004022,0.006419,0.006419,0
2021-05-31,0.006422,0.006744,0.005883,0.006717,0.006717,0
2021-06-01,0.006720,0.006821,0.006442,0.006600,0.006600,0
2021-06-02,0.006603,0.006808,0.006398,0.006769,0.006769,0
2021-06-03,0.006764,0.007106,0.006704,0.007051,0.007051,0
2021-06-04,0.007058,0.007064,0.006429,0.006644,0.006644,0
2021-06-05,0.006641,0.006825,0.006282,0.006399,0.006399,0
2021-06-06,0.006399,0.006559,0.006002,0.006095,0.006095,0
2021-06-07,0.006097,0.006803,0.006027,0.006052,0.006052,0
2021-06-08,0.006041,0.006123,0.005601,0.006026,0.006026,0
2021-06-09,0.006025,0.006381,0.005765,0.006340,0.006340,0
2021-06-10,0.006349,0.006517,0.006094,0.006238,0.006238,0
2021-06-11,0.006239,0.006770,0.006128,0.006709,0.006709,0
2021-06-12,0.006720,0.006734,0.006251,0.006392,0.006392,0
2021-06-13,0.006399,0.006760,0.006270,0.006646,0.006646,0
2021-06-14,0.006647,0.006966,0.006589,0.006799,0.006799,1
2021-06-15,0.006863,0.007020,0.006734,0.006872,0.006872,1
2021-06-16,0.006826,0.006881,0.006490,0.006517,0.006517,0
2021-06-17,0.006519,0.006717,0.006365,0.006469,0.006469,0
2021-06-18,0.006469,0.006492,0.005994,0.006083,0.006083,0
2021-06-19,0.006084,0.006198,0.005939,0.006051,0.006051,0
2021-06-20,0.006055,0.006464,0.005683,0.006073,0.006073,0
2021-06-21,0.006069,0.006073,0.005320,0.005376,0.005376,0
2021-06-22,0.005385,0.006498,0.004912,0.006494,0.006494,0
2021-06-23,0.006501,0.006951,0.006355,0.006751,0.006751,0
2021-06-24,0.006731,0.007645,0.006477,0.006936,0.006936,0
2021-06-25,0.006932,0.007573,0.005755,0.006014,0.006014,0
2021-06-26,0.006011,0.007456,0.005735,0.007383,0.007383,0
2021-06-27,0.007403,0.007971,0.007132,0.007958,0.007958,0
2021-06-28,0.007969,0.008269,0.007797,0.008269,0.008269,0
2021-06-29,0.008264,0.008988,0.008221,0.008622,0.008622,0
2021-06-30,0.008608,0.009503,0.008328,0.009459,0.009459,0
2021-07-01,0.009461,0.010818,0.008352,0.009390,0.009390,0
2021-07-02,0.009400,0.010180,0.008531,0.010170,0.010170,0
2021-07-03,0.010169,0.011493,0.010021,0.010748,0.010748,0
2021-07-04,0.010747,0.011055,0.009585,0.010584,0.010584,0
2021-07-05,0.010586,0.010710,0.008402,0.010147,0.010147,0
2021-07-06,0.010124,0.010512,0.010080,0.010261,0.010261,0
2021-07-07,0.010271,0.010499,0.010152,0.010152,0.010152,0
2021-07-08,0.010157,0.010310,0.009107,0.009197,0.009197,0
2021-07-09,0.009206,0.009532,0.009049,0.009482,0.009482,0
2021-07-10,0.009463,0.009579,0.009272,0.009382,0.009382,0
2021-07-11,0.009386,0.010030,0.009337,0.009928,0.009928,0
2021-07-12,0.009930,0.010032,0.009482,0.009616,0.009616,0
2021-07-13,0.009615,0.009665,0.009356,0.009482,0.009482,0
2021-07-14,0.009484,0.009588,0.009175,0.009518,0.009518,0
2021-07-15,0.009520,0.009872,0.009061,0.009830,0.009830,0
2021-07-16,0.009852,0.009988,0.009641,0.009743,0.009743,0
2021-07-17,0.009741,0.009802,0.009393,0.009458,0.009458,0
2021-07-18,0.009460,0.009720,0.009365,0.009536,0.009536,0
2021-07-19,0.009539,0.009566,0.009169,0.009245,0.009245,0
2021-07-20,0.009245,0.009302,0.008808,0.008944,0.008944,0
2021-07-21,0.008942,0.009826,0.008858,0.009633,0.009633,0
2021-07-22,0.009633,0.009773,0.009524,0.009697,0.009697,0
2021-07-23,0.009694,0.010068,0.009617,0.010068,0.010068,0
2021-07-24,0.010074,0.010347,0.009834,0.009939,0.009939,0
2021-07-25,0.009945,0.010256,0.009826,0.010252,0.010252,0
2021-07-26,0.010252,0.011391,0.009967,0.010091,0.010091,0
2021-07-27,0.010081,0.010636,0.009839,0.010636,0.010636,0
2021-07-28,0.010640,0.011020,0.010493,0.010805,0.010805,0
2021-07-29,0.010799,0.010960,0.010625,0.010797,0.010797,0
2021-07-30,0.010802,0.011379,0.010367,0.011375,0.011375,0
2021-07-31,0.011404,0.011404,0.010278,0.010427,0.010427,0
2021-08-01,0.010407,0.010635,0.007908,0.008014,0.008014,0
2021-08-02,0.007995,0.008084,0.007749,0.007835,0.007835,0
2021-08-03,0.007840,0.007950,0.007556,0.007627,0.007627,0
2021-08-04,0.007631,0.007989,0.007518,0.007954,0.007954,0
2021-08-05,0.007950,0.008682,0.007847,0.008583,0.008583,0
2021-08-06,0.008583,0.008649,0.007265,0.008148,0.008148,0
2021-08-07,0.008135,0.008491,0.008098,0.008489,0.008489,0
2021-08-08,0.008466,0.009056,0.008343,0.008751,0.008751,0
2021-08-09,0.008760,0.009291,0.008570,0.009257,0.009257,0
2021-08-10,0.009273,0.009328,0.008941,0.009112,0.009112,0
2021-08-11,0.009117,0.009347,0.009070,0.009132,0.009132,0
2021-08-12,0.009119,0.010042,0.009082,0.009775,0.009775,0
2021-08-13,0.009774,0.010263,0.008799,0.009088,0.009088,0
2021-08-14,0.009081,0.009455,0.008781,0.009414,0.009414,0
2021-08-15,0.009419,0.009471,0.009116,0.009418,0.009418,0
2021-08-16,0.009409,0.009600,0.007769,0.007828,0.007828,0
2021-08-17,0.007821,0.008485,0.007715,0.008046,0.008046,0
2021-08-18,0.008045,0.008271,0.007986,0.008068,0.008068,0
2021-08-19,0.008064,0.008455,0.007920,0.008407,0.008407,0
2021-08-20,0.008409,0.008524,0.007973,0.008388,0.008388,0
2021-08-21,0.008388,0.008452,0.008213,0.008318,0.008318,0
2021-08-22,0.008314,0.008410,0.008194,0.008387,0.008387,0
2021-08-23,0.008385,0.008582,0.008343,0.008421,0.008421,0
2021-08-24,0.008423,0.008479,0.008107,0.008119,0.008119,0
2021-08-25,0.008110,0.008173,0.006797,0.007344,0.007344,0
2021-08-26,0.007344,0.007350,0.004646,0.004694,0.004694,0
2021-08-27,0.004694,0.004911,0.004639,0.004906,0.004906,0
2021-08-28,0.004906,0.004928,0.004850,0.004890,0.004890,0
2021-08-29,0.004890,0.004960,0.004793,0.004882,0.004882,0
2021-08-30,0.004883,0.004893,0.004696,0.004699,0.004699,0
2021-08-31,0.004699,0.007615,0.004675,0.007543,0.007543,0
2021-09-01,0.007547,0.009273,0.007547,0.009271,0.009271,0
2021-09-02,0.009283,0.009565,0.009244,0.009375,0.009375,0
2021-09-03,0.009372,0.009384,0.008387,0.008507,0.008507,0
2021-09-04,0.008504,0.008593,0.008423,0.008491,0.008491,0
2021-09-05,0.008491,0.008818,0.008422,0.008797,0.008797,0
2021-09-06,0.008801,0.008959,0.008679,0.008950,0.008950,0
2021-09-07,0.008948,0.008985,0.007358,0.007959,0.007959,0
2021-09-08,0.007958,0.008047,0.007575,0.007836,0.007836,0
2021-09-09,0.007784,0.008035,0.007764,0.007884,0.007884,0
2021-09-10,0.007887,0.007995,0.007539,0.007628,0.007628,0
2021-09-11,0.007630,0.007815,0.007207,0.007229,0.007229,0
2021-09-12,0.007232,0.007882,0.007166,0.007837,0.007837,0
2021-09-13,0.007831,0.007922,0.007411,0.007644,0.007644,0
2021-09-14,0.007644,0.008027,0.007608,0.008003,0.008003,0
2021-09-15,0.008006,0.008237,0.007951,0.008190,0.008190,0
2021-09-16,0.008190,0.008678,0.008059,0.008600,0.008600,0
2021-09-17,0.008601,0.009042,0.007962,0.008029,0.008029,0
2021-09-18,0.008035,0.008783,0.008005,0.008685,0.008685,0
2021-09-19,0.008690,0.008699,0.007507,0.007563,0.007563,0
2021-09-20,0.007562,0.007573,0.006816,0.006861,0.006861,0
2021-09-21,0.006855,0.006977,0.006366,0.006489,0.006489,0
2021-09-22,0.006511,0.007037,0.006500,0.006974,0.006974,0
2021-09-23,0.006972,0.007191,0.006897,0.007184,0.007184,0
2021-09-24,0.007183,0.007213,0.006550,0.006855,0.006855,0
2021-09-25,0.006854,0.006879,0.006682,0.006835,0.006835,0
2021-09-26,0.006835,0.007027,0.006536,0.006918,0.006918,0
2021-09-27,0.006913,0.007090,0.002531,0.002534,0.002534,0
2021-09-28,0.002534,0.002567,0.002456,0.002459,0.002459,0
2021-09-29,0.002462,0.004255,0.002450,0.004153,0.004153,0
2021-09-30,0.004156,0.004409,0.004144,0.004378,0.004378,0
2021-10-01,0.004379,0.005328,0.004332,0.005296,0.005296,0
2021-10-02,0.005293,0.005794,0.005242,0.005728,0.005728,0
2021-10-03,0.005725,0.006387,0.005659,0.005783,0.005783,0
2021-10-04,0.005784,0.005935,0.005645,0.005893,0.005893,0
2021-10-05,0.005894,0.006221,0.005889,0.006179,0.006179,0
2021-10-06,0.006182,0.006668,0.006059,0.006647,0.006647,0
2021-10-07,0.006643,0.006643,0.006423,0.006456,0.006456,0
2021-10-08,0.006457,0.006711,0.006443,0.006474,0.006474,0
2021-10-09,0.006476,0.006648,0.006448,0.006595,0.006595,0
2021-10-10,0.006596,0.006768,0.006512,0.006577,0.006577,0
2021-10-11,0.006573,0.006935,0.006542,0.006896,0.006896,0
2021-10-12,0.006898,0.007350,0.006252,0.007288,0.007288,0
2021-10-13,0.007285,0.007500,0.007068,0.007464,0.007464,0
2021-10-14,0.007462,0.007602,0.007404,0.007453,0.007453,0
2021-10-15,0.007452,0.008638,0.007393,0.008628,0.008628,0
2021-10-16,0.008623,0.008718,0.007225,0.007306,0.007306,0
2021-10-17,0.007307,0.007397,0.007100,0.007388,0.007388,0
2021-10-18,0.007386,0.007514,0.007202,0.007443,0.007443,0
2021-10-19,0.007443,0.007732,0.007395,0.007711,0.007711,0
2021-10-20,0.007711,0.008696,0.007633,0.008580,0.008580,0
2021-10-21,0.008579,0.008658,0.008075,0.008089,0.008089,0
2021-10-22,0.008087,0.008283,0.007816,0.007891,0.007891,0
2021-10-23,0.007890,0.008027,0.007777,0.007978,0.007978,0
2021-10-24,0.007981,0.007996,0.007754,0.007924,0.007924,0
2021-10-25,0.007921,0.008864,0.007890,0.008823,0.008823,0
2021-10-26,0.008826,0.009406,0.008714,0.009051,0.009051,0
2021-10-27,0.009055,0.010418,0.009031,0.009949,0.009949,0
2021-10-28,0.009942,0.010562,0.009895,0.010304,0.010304,0
2021-10-29,0.010306,0.010698,0.010256,0.010582,0.010582,0
2021-10-30,0.010579,0.010596,0.010356,0.010498,0.010498,0
2021-10-31,0.010521,0.010609,0.010213,0.010424,0.010424,0
2021-11-01,0.010424,0.010611,0.010148,0.010370,0.010370,0
2021-11-02,0.010371,0.011564,0.010314,0.011377,0.011377,0
2021-11-03,0.011381,0.011433,0.011013,0.011333,0.011333,0
2021-11-04,0.011335,0.011362,0.010944,0.011066,0.011066,0
2021-11-05,0.011061,0.011257,0.010952,0.011002,0.011002,0
2021-11-06,0.011003,0.011086,0.010829,0.011077,0.011077,0
2021-11-07,0.011075,0.011257,0.010584,0.010759,0.010759,0
2021-11-08,0.010766,0.011294,0.009790,0.010136,0.010136,0
2021-11-09,0.010135,0.010947,0.010086,0.010721,0.010721,0
2021-11-10,0.010715,0.011006,0.009481,0.009736,0.009736,0
2021-11-11,0.009749,0.009837,0.009627,0.009724,0.009724,0
2021-11-12,0.009742,0.009819,0.009350,0.009638,0.009638,0
2021-11-13,0.009623,0.009737,0.009496,0.009672,0.009672,0
2021-11-14,0.009670,0.009685,0.008911,0.009165,0.009165,0
2021-11-15,0.009165,0.009279,0.008897,0.008913,0.008913,0
2021-11-16,0.008898,0.009767,0.008262,0.009635,0.009635,0
2021-11-17,0.009626,0.010295,0.008915,0.010258,0.010258,0
2021-11-18,0.010263,0.010940,0.009048,0.009109,0.009109,0
2021-11-19,0.009111,0.009336,0.008913,0.009303,0.009303,0
2021-11-20,0.009299,0.009578,0.009195,0.009555,0.009555,0
2021-11-21,0.009552,0.009601,0.009379,0.009385,0.009385,0
2021-11-22,0.009397,0.009483,0.008909,0.009015,0.009015,0
2021-11-23,0.009006,0.009260,0.008901,0.009216,0.009216,0
2021-11-24,0.009211,0.009248,0.008954,0.009006,0.009006,1
2021-11-25,0.009153,0.009499,0.008016,0.008032,0.008032,1
2021-11-26,0.009428,0.009469,0.007504,0.007504,0.007504,0
2021-11-27,0.007500,0.007746,0.007500,0.007653,0.007653,0
2021-11-28,0.007674,0.008035,0.007501,0.008010,0.008010,0
2021-11-29,0.008015,0.008242,0.007951,0.008090,0.008090,0
2021-11-30,0.008093,0.008273,0.007848,0.007982,0.007982,13
2021-12-01,0.007967,0.008093,0.007352,0.007440,0.007440,8
2021-12-02,0.007438,0.008586,0.007438,0.008477,0.008477,10
2021-12-03,0.008472,0.009772,0.007874,0.008042,0.008042,92
2021-12-04,0.008040,0.008923,0.007289,0.008854,0.008854,28
2021-12-05,0.008856,0.008958,0.008614,0.008887,0.008887,0
2021-12-06,0.008886,0.009167,0.008511,0.009094,0.009094,5
2021-12-07,0.009105,0.009348,0.009032,0.009127,0.009127,0
2021-12-08,0.009126,0.009150,0.007315,0.007579,0.007579,13
2021-12-09,0.007576,0.008447,0.007401,0.008114,0.008114,5
2021-12-10,0.008104,0.008503,0.007994,0.008040,0.008040,0
2021-12-11,0.008031,0.008305,0.007234,0.007413,0.007413,121
2021-12-12,0.007404,0.007609,0.007309,0.007513,0.007513,0
2021-12-13,0.007515,0.007531,0.006884,0.007005,0.007005,0
2021-12-14,0.007011,0.007465,0.006964,0.006993,0.006993,1
2021-12-15,0.007258,0.007465,0.007001,0.007335,0.007335,7
2021-12-16,0.007335,0.008675,0.007164,0.008103,0.008103,24
2021-12-17,0.008101,0.008161,0.007755,0.007854,0.007854,0
2021-12-18,0.007857,0.008043,0.007753,0.007964,0.007964,0
2021-12-19,0.007965,0.008175,0.007906,0.007940,0.007940,0
2021-12-20,0.007940,0.008058,0.007749,0.007970,0.007970,0
2021-12-21,0.007971,0.008377,0.007939,0.008319,0.008319,0
2021-12-22,0.008319,0.008423,0.007783,0.008265,0.008265,11
2021-12-23,0.008267,0.008726,0.008171,0.008634,0.008634,0
2021-12-24,0.008633,0.008808,0.008587,0.008647,0.008647,0
2021-12-25,0.008640,0.008700,0.008540,0.008583,0.008583,0
2021-12-26,0.008573,0.008703,0.008436,0.008636,0.008636,0
2021-12-27,0.008638,0.008833,0.008585,0.008624,0.008624,0
2021-12-28,0.008609,0.008616,0.008060,0.008102,0.008102,0
2021-12-29,0.008090,0.008180,0.007854,0.007896,0.007896,0
2021-12-30,0.007903,0.008140,0.007830,0.008020,0.008020,0
2021-12-31,0.008019,0.008240,0.007789,0.007872,0.007872,0
2022-01-01,0.007873,0.009082,0.007869,0.009060,0.009060,16
2022-01-02,0.009059,0.009060,0.007966,0.008996,0.008996,22
2022-01-03,0.008995,0.009027,0.008709,0.008827,0.008827,31
2022-01-04,0.008827,0.009007,0.008693,0.008721,0.008721,91
2022-01-05,0.008721,0.009345,0.008560,0.008714,0.008714,56
2022-01-06,0.008713,0.009085,0.008529,0.009064,0.009064,649
2022-01-07,0.009062,0.009062,0.008215,0.008312,0.008312,124
2022-01-08,0.008312,0.008437,0.008134,0.008347,0.008347,0
2022-01-09,0.008347,0.008533,0.008268,0.008382,0.008382,0
2022-01-10,0.008382,0.008440,0.007959,0.008364,0.008364,0
2022-01-11,0.008364,0.008600,0.008282,0.008547,0.008547,0
2022-01-12,0.008548,0.008827,0.008506,0.008786,0.008786,0
2022-01-13,0.008786,0.008856,0.008489,0.008518,0.008518,6
2022-01-14,0.008520,0.008669,0.008397,0.008620,0.008620,0
2022-01-15,0.008620,0.008745,0.008534,0.008635,0.008635,69
2022-01-16,0.008634,0.008687,0.008538,0.008623,0.008623,5
2022-01-17,0.008624,0.008636,0.008336,0.008450,0.008450,0
2022-01-18,0.008450,0.008507,0.008278,0.008475,0.008475,0
2022-01-19,0.008475,0.008496,0.008256,0.008349,0.008349,0
2022-01-20,0.008349,0.008417,0.008342,0.008388,0.008388,0
2022-01-21,0.008388,0.008388,0.007516,0.007656,0.007656,31
2022-01-22,0.007659,0.007808,0.007213,0.007708,0.007708,63
2022-01-23,0.007708,0.007947,0.006609,0.006893,0.006893,157
2022-01-24,0.006892,0.007077,0.006305,0.006964,0.006964,0
2022-01-25,0.006964,0.007114,0.006798,0.007021,0.007021,0
2022-01-26,0.007021,0.007377,0.006911,0.007002,0.007002,0
2022-01-27,0.007000,0.007058,0.006770,0.007056,0.007056,0
2022-01-28,0.007054,0.007211,0.006880,0.007167,0.007167,0
2022-01-29,0.007167,0.007329,0.007107,0.007246,0.007246,0
2022-01-30,0.007249,0.007271,0.007113,0.007204,0.007204,0
2022-01-31,0.007205,0.007343,0.006979,0.007312,0.007312,0
2022-02-01,0.007312,0.007432,0.007242,0.007361,0.007361,0
2022-02-02,0.007361,0.007379,0.006998,0.007021,0.007021,0
2022-02-03,0.007020,0.007059,0.006911,0.007059,0.007059,0
2022-02-04,0.007058,0.007890,0.007048,0.007885,0.007885,0
2022-02-05,0.007885,0.007951,0.007797,0.007874,0.007874,0
2022-02-06,0.007874,0.008075,0.007837,0.008058,0.008058,0
2022-02-07,0.008057,0.008436,0.007932,0.008330,0.008330,0
2022-02-08,0.008332,0.008606,0.008133,0.008383,0.008383,0
2022-02-09,0.008378,0.008498,0.008214,0.008424,0.008424,0
2022-02-10,0.008426,0.008676,0.008247,0.008277,0.008277,0
2022-02-11,0.008279,0.008324,0.008002,0.008058,0.008058,0
2022-02-12,0.008058,0.008169,0.007952,0.008026,0.008026,0
2022-02-13,0.008025,0.008112,0.007971,0.008018,0.008018,0
2022-02-14,0.008010,0.008127,0.007920,0.008092,0.008092,0
2022-02-15,0.008091,0.008487,0.008073,0.008469,0.008469,0
2022-02-16,0.008470,0.008470,0.008257,0.008353,0.008353,0
2022-02-17,0.008348,0.008385,0.007647,0.007702,0.007702,0
2022-02-18,0.007705,0.007777,0.003983,0.004003,0.004003,12
2022-02-19,0.004003,0.004042,0.003971,0.004012,0.004012,0
2022-02-20,0.004012,0.004012,0.003811,0.003843,0.003843,0
2022-02-21,0.003842,0.003939,0.003695,0.003708,0.003708,0
2022-02-22,0.003707,0.003836,0.003649,0.003829,0.003829,0
2022-02-23,0.003829,0.003902,0.003720,0.003730,0.003730,0
2022-02-24,0.003728,0.005076,0.002867,0.003067,0.003067,30
2022-02-25,0.003067,0.003170,0.003049,0.003137,0.003137,0
2022-02-26,0.003137,0.004756,0.003096,0.004693,0.004693,4
2022-02-27,0.004692,0.004773,0.004472,0.004525,0.004525,0
2022-02-28,0.004525,0.005251,0.004502,0.005183,0.005183,0
2022-03-01,0.005183,0.005227,0.003867,0.004879,0.004879,42
2022-03-02,0.004879,0.004959,0.004778,0.004832,0.004832,12
2022-03-03,0.004832,0.004842,0.004611,0.004670,0.004670,31
2022-03-04,0.004670,0.004673,0.004269,0.004305,0.004305,0
2022-03-05,0.004306,0.004352,0.004265,0.004334,0.004334,0
2022-03-06,0.004334,0.004360,0.004203,0.004226,0.004226,0
2022-03-07,0.004227,0.004337,0.004099,0.004187,0.004187,0
2022-03-08,0.004187,0.004323,0.004175,0.004261,0.004261,0
2022-03-09,0.004262,0.004671,0.004258,0.004618,0.004618,0
2022-03-10,0.004617,0.004621,0.004272,0.004338,0.004338,0
2022-03-11,0.004338,0.004409,0.004218,0.004267,0.004267,0
2022-03-12,0.004267,0.004324,0.004265,0.004279,0.004279,0
2022-03-13,0.004277,0.004313,0.004150,0.004163,0.004163,0
2022-03-14,0.004163,0.004316,0.003097,0.003173,0.003173,69
2022-03-15,0.003173,0.003184,0.003065,0.003147,0.003147,0
2022-03-16,0.003147,0.003317,0.003122,0.003292,0.003292,0
2022-03-17,0.003291,0.003716,0.003270,0.003686,0.003686,4
2022-03-18,0.003685,0.003798,0.003637,0.003762,0.003762,0
2022-03-19,0.003762,0.003808,0.003744,0.003797,0.003797,0
2022-03-20,0.003797,0.004591,0.003753,0.004537,0.004537,9
2022-03-21,0.004537,0.006633,0.004473,0.006572,0.006572,12
2022-03-22,0.006572,0.008523,0.006552,0.006777,0.006777,247
2022-03-23,0.006778,0.006863,0.006700,0.006863,0.006863,0
2022-03-24,0.006862,0.007061,0.006836,0.007034,0.007034,0
2022-03-25,0.007034,0.007200,0.006993,0.007096,0.007096,0
2022-03-26,0.007096,0.007158,0.007067,0.007120,0.007120,0
2022-03-27,0.007121,0.007492,0.007110,0.007491,0.007491,0
2022-03-28,0.007491,0.007694,0.007470,0.007540,0.007540,0
2022-03-29,0.007536,0.007628,0.004712,0.004747,0.004747,8
2022-03-30,0.004746,0.004766,0.004675,0.004706,0.004706,0
2022-03-31,0.004706,0.004751,0.004539,0.004554,0.004554,0
2022-04-01,0.004555,0.004662,0.004440,0.004628,0.004628,0
2022-04-02,0.004629,0.005556,0.004578,0.005504,0.005504,5
2022-04-03,0.005503,0.005678,0.005476,0.005574,0.005574,0
2022-04-04,0.005573,0.005615,0.005428,0.005595,0.005595,0
2022-04-05,0.005595,0.005653,0.005465,0.005467,0.005467,0
2022-04-06,0.005465,0.005465,0.005183,0.005185,0.005185,0
2022-04-07,0.005185,0.005263,0.005148,0.005220,0.005220,0
2022-04-08,0.005221,0.005268,0.005062,0.005075,0.005075,0
2022-04-09,0.005074,0.005114,0.003820,0.003850,0.003850,16
2022-04-10,0.003850,0.005205,0.003833,0.005065,0.005065,74
2022-04-11,0.005064,0.005091,0.004725,0.004743,0.004743,0
2022-04-12,0.004744,0.004874,0.004727,0.004815,0.004815,0
2022-04-13,0.004815,0.004972,0.004766,0.004940,0.004940,0
2022-04-14,0.004939,0.004974,0.004763,0.004792,0.004792,0
2022-04-15,0.004793,0.004874,0.004784,0.004866,0.004866,0
2022-04-16,0.004866,0.004876,0.004809,0.004851,0.004851,0
2022-04-17,0.004850,0.004868,0.004755,0.004766,0.004766,0